###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_BOUNCE_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Europe/Oslo'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['lydYyoHpWwU2ye'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['cocKrTMvcYLG8a'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_INFLUENCEDOPEN_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['America/Denver'])
    TIME (Type: NUMBER; Sample values: ['1658791678'])
    USER_ID (Type: TEXT; Sample values: ['1dRCeEIuKZ8Esep'])
    APP_ID (Type: TEXT; Sample values: ['cavgwlQbKmE'])
    PLATFORM (Type: TEXT; Sample values: ['ios'])
    SEND_ID (Type: TEXT; Sample values: ['7i5okKPaoF3fRC'])
    ID (Type: TEXT; Sample values: ['NeNJ3FOXCeOxVv'])
    DEVICE_ID (Type: TEXT; Sample values: ['YSDYiKg7Pje7Z1'])
    BROWSER (Type: TEXT; Sample values: ['hRPsE6s'])
    APP_API_ID (Type: TEXT; Sample values: ['JKCnpDLhLTH757'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['53NwKNR9MSRc5IH'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['58h8RRp5cjh7dZr'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['14X2wEeQ2arq6Tx'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['qangd3BhsTBOv2'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['EkezqaD92MkkL3'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['Gdpj1fC6HC8'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['rbIoL4RjWea9OX'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['LROK6TCFZ9X41W'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    DISPATCH_ID (Type: TEXT; Sample values: ['4WY9jVer4L7xZJ'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['pp2x0CaIfMGgbC'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_IOSFOREGROUND_VIEW
[
    TIME (Type: NUMBER; Sample values: ['1680692760'])
    TIMEZONE (Type: TEXT; Sample values: ['America/New_York'])
    USER_ID (Type: TEXT; Sample values: ['1rv16rYZPX39xog'])
    AD_ID (Type: TEXT; Sample values: ['B6Uq7bZ42BxQbY'])
    APP_ID (Type: TEXT; Sample values: ['cavgwlQbKmE'])
    AD_TRACKING_ENABLED (Type: BOOLEAN; Sample values: ['True'])
    SEND_ID (Type: TEXT; Sample values: ['IHsWBtGQnt2evg'])
    BROWSER (Type: TEXT; Sample values: ['LNi6eLq'])
    PLATFORM (Type: TEXT; Sample values: ['android'])
    DEVICE_ID (Type: TEXT; Sample values: ['gjLqZot5d8ZUlM'])
    ID (Type: TEXT; Sample values: ['k0xxl1lWnQSEBO'])
    SF_CREATED_AT (Type: TIMESTAMP_LTZ; Sample values: ['2021-12-14 11:16:05.085000-08:00'])
    APP_API_ID (Type: TEXT; Sample values: ['ZB5yvGAeChjb72'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['VrmeXuVtkSiZ7U'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['j5uvwemwdRPtkS'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['p32d4KUWjc2NcL'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['89DbzhTflGYFCr'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['DrfMYMah8UfU4H'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['ZlCC0PeXhev'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['e6mhYsC32gc4S8'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['nI684v4sRoHNo4L'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    DISPATCH_ID (Type: TEXT; Sample values: ['kIi1UfF3L1AKvP'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['WSlZXCVUyYDoQUv'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['LJa5UttXS2tXm4e'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_BOUNCE_SHARED_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Asia/Singapore'])
    TIME (Type: NUMBER; Sample values: ['1690642972'])
    PUSH_TOKEN (Type: TEXT; Sample values: ['Q9v1G9KUpiKmkI'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['a3FcGsCQEUX6li'])
    SEND_ID (Type: TEXT; Sample values: ['RzjrqWHwUvJdTR'])
    DEVICE_ID (Type: TEXT; Sample values: ['p248G3Zbc8czjf'])
    ID (Type: TEXT; Sample values: ['m3gRvdmwqCqgCP'])
    AD_ID (Type: TEXT; Sample values: ['1TzL8XhCkHQwbj'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['GY6FbjMjHLA0mu'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['DUP9welF23L6rP'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['eivJmWT6f2bB3F0'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['JmNEIMddzxHSc2b'])
    APP_API_ID (Type: TEXT; Sample values: ['288mjosr155L7T'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['fvU6ratBU7VRqI'])
    DISPATCH_ID (Type: TEXT; Sample values: ['FXGdF7xmnDrWbx'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['wipiYDXfKKO'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['OkIYT1HbF7u'])
    USER_ID (Type: TEXT; Sample values: ['1Vhr7od4uu4dGqg'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['kS9uL8puduQSGV'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_SEND_SHARED_VIEW
[
    TIME (Type: NUMBER; Sample values: ['1693362990'])
    TIMEZONE (Type: TEXT; Sample values: ['America/Denver'])
    PUSH_TOKEN (Type: TEXT; Sample values: ['a1A28J8xYce44r'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['sdl5HJ3F6QQRC4'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['MHI381yIfeZ0osy'])
    USER_ID (Type: TEXT; Sample values: ['0lL7oak0UWagKyU'])
    DISPATCH_ID (Type: TEXT; Sample values: ['jaf5O2aQrfAOmG'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['19jfvxwFloTFnS'])
    SEND_ID (Type: TEXT; Sample values: ['ojO9BwpwoMHjGJ'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['OkIYT1HbF7u'])
    CANVAS_ID (Type: TEXT; Sample values: ['csTQRH4RZej6vk5'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['d2qGAytBEHxCKd'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['Eua3Yh9JZix'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['X5NBQq5p7kfRyH8'])
    APP_API_ID (Type: TEXT; Sample values: ['QcPAT20UTW4oXS'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['None'])
    DEVICE_ID (Type: TEXT; Sample values: ['KDou8kfmZEatNb'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['fi9Lh02q62AIbR'])
    AD_ID (Type: TEXT; Sample values: ['pkjsc4WNc5mVOX'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['nvIZW4Gc4cWmo0'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['None'])
    ID (Type: TEXT; Sample values: ['stoQ4UJEZ3a1sR'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_INFLUENCEDOPEN_SHARED_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['America/New_York'])
    TIME (Type: NUMBER; Sample values: ['1665435755'])
    ID (Type: TEXT; Sample values: ['s5S0u4ttMzB2jc'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['loPFcRNkEIeyDTC'])
    APP_API_ID (Type: TEXT; Sample values: ['ylIIevF0GEGPkh'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['W1TXOWImcelJyd'])
    USER_ID (Type: TEXT; Sample values: ['1ThK0Tfzzjo6C35'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['DJqv9T494HxaMM'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['RkKc2qUATc7YB4E'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['sngMhQqJw0c'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    SEND_ID (Type: TEXT; Sample values: ['I15iGrQsTnuZ66'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['bHmIdBQpbbVmdn'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['4HNW0goOFeGB44'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    DEVICE_ID (Type: TEXT; Sample values: ['pDDpAVF84jMmJP'])
    DISPATCH_ID (Type: TEXT; Sample values: ['AUANKSqkUpKLLn'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_IOSFOREGROUND_SHARED_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Asia/Singapore'])
    TIME (Type: NUMBER; Sample values: ['1689750584'])
    USER_ID (Type: TEXT; Sample values: ['1l56ymrYc0Kr7L9'])
    AD_ID (Type: TEXT; Sample values: ['3TO4luQNPyHgKg'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    APP_API_ID (Type: TEXT; Sample values: ['Yb131otkUAvuLN'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['TqBQi51i93iTOvf'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['PEP0p4De1f4m9Z'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['ERT06uw4MGekml'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['KEomeKPeckIetk'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['RtenM8764Ie'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['mOKZKQIMy4eoJK'])
    ID (Type: TEXT; Sample values: ['XKphia026unKGr'])
    DEVICE_ID (Type: TEXT; Sample values: ['UkE9PCia88mec1'])
    DISPATCH_ID (Type: TEXT; Sample values: ['46w34fYGCLHCcu'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['yVtDpA2JCpTMloj'])
    SEND_ID (Type: TEXT; Sample values: ['ePBobfQvAiT2P1'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['sVbx7KtB9Tc5vm'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_OPEN_SHARED_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['America/New_York'])
    TIME (Type: NUMBER; Sample values: ['1680787636'])
    AD_TRACKING_ENABLED (Type: BOOLEAN; Sample values: ['True'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['qU1t8uBDTlIIvr'])
    SLIDE_ID (Type: TEXT; Sample values: ['lUO0Gwt'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['1b4Crn3LDcPJFfY'])
    APP_API_ID (Type: TEXT; Sample values: ['pLXKIITxZuTXoL'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['VRAYjw6m6NMG2q'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['Ijp2gTtonIOb9ig'])
    AD_ID (Type: TEXT; Sample values: ['vmsGKqUaSr55NW'])
    USER_ID (Type: TEXT; Sample values: ['0GnuCJJGV8GgqmP'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['RRcpxzooqOgauG'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['vVscK8hLvmNQ0G'])
    DISPATCH_ID (Type: TEXT; Sample values: ['VUMPr5ol1UpG9X'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['Qyr8L8Rl9hsS3n'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['aU6yTesmknA'])
    SLIDE_ACTION_TYPE (Type: TEXT; Sample values: ['h1i13Ng'])
    SEND_ID (Type: TEXT; Sample values: ['FyOtLNZAHm8Dte'])
    ID (Type: TEXT; Sample values: ['kb2ntLOeA5XSQX'])
    DEVICE_ID (Type: TEXT; Sample values: ['Dm0Whuffq0B9Pr'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_SMS_DELIVERY_VIEW
[
    TIME (Type: NUMBER; Sample values: ['1691312513'])
    TIMEZONE (Type: TEXT; Sample values: ['Indian/Chagos'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['WC5rnzke8bf'])
    SEND_ID (Type: TEXT; Sample values: ['9emj20SkcYkTch'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['ToYjiNSX2uIp3r'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['hujHkHixYkguu0C'])
    ID (Type: TEXT; Sample values: ['yrTVLBvgWIk1bA'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['icVbWBMRfHb7Kg'])
    DEVICE_ID (Type: TEXT; Sample values: ['zhAvptrZdVeEjZ'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['9VoLRgrVdBc2PNE'])
    DISPATCH_ID (Type: TEXT; Sample values: ['re1cV2NjggJXEj'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['UwWrZG5io195AWG'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['olo92wsuOQyP1G'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['OkIYT1HbF7u'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['0TWgU3WaQ6JYiK'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['NcD0UmSPOmyMi8'])
    USER_ID (Type: TEXT; Sample values: ['2gpR2JqxhIA1OG3'])
    SUBSCRIPTION_GROUP_ID (Type: TEXT; Sample values: ['K1RNSW7KVuYyG0'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    SUBSCRIPTION_GROUP_API_ID (Type: TEXT; Sample values: ['w7h7jn3MgVMx1E'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_EMAIL_DELIVERY_VIEW
[
    TIME (Type: NUMBER; Sample values: ['1640078076'])
    TIMEZONE (Type: TEXT; Sample values: ['Europe/Oslo'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['9XfEMD6ekhKrb8q'])
    DEVICE_ID (Type: TEXT; Sample values: ['sxoqWI1zOhM0uS'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['qQGZ2EeiODe7Ys'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['iGGJRoNAOQvLxt'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['4B7Q0DgtqIiCAYA'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['OkIYT1HbF7u'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['Qt89iMjNLFMSQH'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['YcBYz1IKLXd'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['PzxOAirciusKXy'])
    USER_ID (Type: TEXT; Sample values: ['2YpRi3chBlPMQcx'])
    ID (Type: TEXT; Sample values: ['avFeZyefNpTWxT'])
    SEND_ID (Type: TEXT; Sample values: ['4Ih43PrsFa9qzE'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    DISPATCH_ID (Type: TEXT; Sample values: ['lfmsk5TJYC9510'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['7reyk3QIwcV5ek'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['GygjcQELNE0OmyP'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_SMS_INBOUNDRECEIVE_VIEW
[
    TIME (Type: NUMBER; Sample values: ['1689814347'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['GkeIUJpQjI2R17q'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['u5Nx7GQTvCg7iS'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    SUBSCRIPTION_GROUP_ID (Type: TEXT; Sample values: ['WPKZy5YmBlhjek'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['RQTHcIQex9z4jRN'])
