###Table full name: bigquery-public-data.world_bank_global_population.population_by_country
[
    year_1981 (Type: INT64; Sample values: ['None', 'None', 'None', 'None', '6749847'])
    currency_unit (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_agricultural_census (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    external_debt_reporting_status (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    system_of_national_accounts (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ppp_survey_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    special_notes (Type: STRING; Sample values: ['East Asia and Pacific regional aggregate (does not include high-income economies).', 'Europe and Central Asia regional aggregate (does not include high-income economies).', 'IDA only group aggregate.', 'Latin America and Caribbean regional aggregate (does not include high-income economies).', 'Least developed countries (UN classification) aggregate.'])
    latest_water_withdrawal_data (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    system_of_trade (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    lending_category (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    latest_population_census (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    national_accounts_base_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    balance_of_payments_manual_in_use (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    national_accounts_reference_year (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    vital_registration_complete (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_health_population.health_nutrition_population
[
    year (Type: INT64; Sample values: ['2007', '2001', '1988', '2020', '2003'])
    country_name (Type: STRING; Sample values: ['Canada', 'Canada', 'Canada', 'Canada', 'Canada'])
    country_code (Type: STRING; Sample values: ['CAN', 'CAN', 'CAN', 'CAN', 'CAN'])
    indicator_name (Type: STRING; Sample values: ['Domestic general government health expenditure (% of current health expenditure)', 'Fertility rate, total (births per woman)', 'Hospital beds (per 1,000 people)', 'Human capital index (HCI), male, upper bound (scale 0-1)', 'Incidence of tuberculosis (per 100,000 people)'])
    indicator_code (Type: STRING; Sample values: ['SH.XPD.GHED.CH.ZS', 'SP.DYN.TFRT.IN', 'SH.MED.BEDS.ZS', 'HD.HCI.OVRL.UB.MA', 'SH.TBS.INCD'])
    value (Type: FLOAT64; Sample values: ['72.9079895', '1.5104', '6.5', '0.794975936412811', '5.9'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_health_population.series_times
[
    year (Type: INT64; Sample values: ['1990', '1990', '1990', '1990', '1990'])
    series_code (Type: STRING; Sample values: ['SP.UWT.TFRT', 'SP.REG.DTHS.ZS', 'SH.FPL.SATM.ZS', 'SP.DYN.CONU.ZS', 'SH.MED.CMHW.P3'])
    description (Type: STRING; Sample values: ['Averages for regions/groups are based on country-level data around 1990.', 'Averages for regions/groups are based on country-level data around 1990.', 'Averages for regions/groups are based on country-level data around 1990.', 'Averages for regions/groups are based on country-level data around 1990.', 'Averages for regions/groups are based on country-level data around 1990.'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_wdi.country_summary
[
    vital_registration_complete (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Vital registration complete identifies countries that report at least 90 percent complete registries of vital (birth and death) statistics to the United Nations Statistics Division and are reported in its Population and Vital Statistics Reports. Countries with complete vital statistics registries may have more accurate and more timely demographic indicators than other countries.)
    income_group (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: World Bank income group to which a country belongs after the country classification is completed every year.)
    country_code (Type: STRING; Sample values: ['AFE', 'AFW', 'ARB', 'CEB', 'CSS']; Description: A short alphabetic or numeric geographical code representing a specific country or area. In April 2016 WDI has adopted the three digit ISO code to identify countries in its databases.)
    short_name (Type: STRING; Sample values: ['Africa Eastern and Southern', 'Africa Western and Central', 'Arab World', 'Central Europe and the Baltics', 'Caribbean small states']; Description: Country name the country's official name as approved by the relevant body (Italy is used as an example): conventional short form (Italy).)
    table_name (Type: STRING; Sample values: ['Africa Eastern and Southern', 'Africa Western and Central', 'Arab World', 'Central Europe and the Baltics', 'Caribbean small states']; Description: Country name the country's name as approved by the relevant body (Italy is used as an example): conventional short form (Republic of Italy).)
    long_name (Type: STRING; Sample values: ['Africa Eastern and Southern', 'Africa Western and Central', 'Arab World', 'Central Europe and the Baltics', 'Caribbean small states']; Description: Country name the country's name as approved by the relevant body (Italy is used as an example): conventional long form (Republic of Italy).)
    two_alpha_code (Type: STRING; Sample values: ['ZH', 'ZI', '1A', 'B8', 'S3']; Description: ISO-2 digit alpha code value of the country. Re: www.iso.org)
    wb_2_code (Type: STRING; Sample values: ['ZH', 'ZI', '1A', 'B8', 'S3']; Description: World Bank 2 digit code value of the country.)
    region (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: World Bank region to which a country belongs.)
    other_groups (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Other types of grouping approved by the WDI team.)
    special_notes (Type: STRING; Sample values: ['26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)', '22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)', 'Arab World aggregate. Arab World is composed of members of the League of Arab States.', 'Central Europe and the Baltics aggregate.', 'None']; Description: Country special notes for data and metadata users.)
    imf_data_dissemination_standard (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: IMF data dissemination standard shows the countries that subscribe to the IMF’s Special Data Dissemination Standard (S) or Enhanced General Data Dissemination System (e-GDDS). S refers to countries that subscribe to the SDDS and have posted data on the Dissemination Standards Bulletin Board at http://dsbb.imf.org. S+ countries must observe additional coverage periodicity and timeliness requirements. e-G refers to countries that subscribe to the e-GDDS.)
    latest_trade_data (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Latest trade data show the most recent year for which structure of merchandise trade data from the United Nations Statistics Division’s Commodity Trade (Comtrade) database are available.)
    currency_unit (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Currency unit (such as the dollar euro peso rupee) issued as a coin or banknote a standard unit of value and a unit of account.)
    latest_industrial_data (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Latest industrial data show the most recent year for which manufacturing value added data at the three-digit level of the International Standard Industrial Classification (revision 2 or 3) are available in the United Nations Industrial Development Organization database.)
    lending_category (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: World Bank lending category to which a country belongs after the operational guidelines are completed every year.)
    external_debt_reporting_status (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: External debt shows debt reporting status for 2016 data. A indicates that data are as reported P that data are based on reported or collected information but include an element of staff estimation and E that data are World Bank staff estimates.)
    balance_of_payments_manual_in_use (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Balance of Payments Manual in use refers to the classification system used to compile and report data on balance of payments. 6 refers to the 6th edition of the IMF’s Balance of Payments Manual (2009).)
    latest_agricultural_census (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Latest agricultural census shows the most recent year in which an agricultural census was conducted or planned to be conducted as reported to the Food and Agriculture Organization.)
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_health_population.country_series_definitions
[
    description (Type: STRING; Sample values: ['Aggregate data are based on UNICEF, WHO, and the World Bank harmonized JME dataset.', 'Aggregate data are based on UNICEF, WHO, and the World Bank harmonized JME dataset.', 'Aggregate data are based on UNICEF, WHO, and the World Bank harmonized JME dataset.', 'Aggregate data are based on UNICEF, WHO, and the World Bank harmonized JME dataset.', 'Aggregate data are based on UNICEF, WHO, and the World Bank harmonized JME dataset.'])
    country_code (Type: STRING; Sample values: ['EAS', 'EAS', 'ECS', 'ECS', 'LCN'])
    series_code (Type: STRING; Sample values: ['SH.STA.STNT.ME.ZS', 'SH.STA.OWGH.ME.ZS', 'SH.STA.OWGH.ME.ZS', 'SH.STA.STNT.ME.ZS', 'SH.STA.OWGH.ME.ZS'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_intl_education.international_education
[
    year (Type: INT64; Sample values: ['2012', '2006', '1999', '2007', '2006'])
    country_name (Type: STRING; Sample values: ['Chad', 'Chad', 'Chad', 'Chad', 'Chad'])
    country_code (Type: STRING; Sample values: ['TCD', 'TCD', 'TCD', 'TCD', 'TCD'])
    indicator_name (Type: STRING; Sample values: ['Enrolment in lower secondary education, both sexes (number)', 'Enrolment in upper secondary education, both sexes (number)', 'Enrolment in upper secondary education, both sexes (number)', 'Enrolment in upper secondary education, both sexes (number)', 'Repeaters in primary education, all grades, both sexes (number)'])
    indicator_code (Type: STRING; Sample values: ['UIS.E.2', 'UIS.E.3', 'UIS.E.3', 'UIS.E.3', 'UIS.R.1'])
    value (Type: FLOAT64; Sample values: ['321921.0', '68809.0', '30551.0', '79784.0', '282699.0'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_health_population.series_summary
[
    base_period (Type: INT64; Sample values: ['None', 'None', 'None', 'None', 'None'])
    series_code (Type: STRING; Sample values: ['HD.HCI.OVRL', 'HD.HCI.OVRL.FE', 'HD.HCI.OVRL.LB', 'HD.HCI.OVRL.LB.FE', 'HD.HCI.OVRL.LB.MA'])
    indicator_name (Type: STRING; Sample values: ['Human capital index (HCI) (scale 0-1)', 'Human capital index (HCI), female (scale 0-1)', 'Human capital index (HCI), lower bound (scale 0-1)', 'Human capital index (HCI), female, lower bound (scale 0-1)', 'Human capital index (HCI), male, lower bound (scale 0-1)'])
    related_indicators (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    source (Type: STRING; Sample values: ['World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498', 'World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498', 'World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498', 'World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498', 'World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498'])
    short_definition (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    unit_of_measure (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    aggregation_method (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    periodicity (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    topic (Type: STRING; Sample values: ['Public Sector: Policy & institutions', 'Public Sector: Policy & institutions', 'Public Sector: Policy & institutions', 'Public Sector: Policy & institutions', 'Public Sector: Policy & institutions'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_wdi.indicators_data
[
    indicator_name (Type: STRING; Sample values: ['Net official development assistance and official aid received (constant 2018 US$)', 'Net official development assistance and official aid received (current US$)', 'Net official development assistance received (constant 2018 US$)', 'Net official flows from UN agencies, ILO (current US$)', 'Net official flows from UN agencies, UNICEF (current US$)'])
    value (Type: FLOAT64; Sample values: ['1501189941.40625', '1641939941.40625', '670000.016689301', '373041.689395905', '8420000.07629395'])
    indicator_code (Type: STRING; Sample values: ['DT.ODA.ALLD.KD', 'DT.ODA.ALLD.CD', 'DT.ODA.ODAT.KD', 'DT.NFL.ILOG.CD', 'DT.NFL.UNCF.CD'])
    country_code (Type: STRING; Sample values: ['MOZ', 'MOZ', 'MOZ', 'MOZ', 'MOZ'])
    country_name (Type: STRING; Sample values: ['Mozambique', 'Mozambique', 'Mozambique', 'Mozambique', 'Mozambique'])
    year (Type: INT64; Sample values: ['1998', '2006', '1962', '2012', '2001'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_intl_education.series_summary
[
    indicator_name (Type: STRING; Sample values: ['Barro-Lee: Percentage of female population age 15-19 with no education', 'Barro-Lee: Percentage of population age 15-19 with no education', 'Barro-Lee: Percentage of female population age 15+ with no education', 'Barro-Lee: Percentage of population age 15+ with no education', 'Barro-Lee: Percentage of female population age 20-24 with no education'])
    related_indicators (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    series_code (Type: STRING; Sample values: ['BAR.NOED.1519.FE.ZS', 'BAR.NOED.1519.ZS', 'BAR.NOED.15UP.FE.ZS', 'BAR.NOED.15UP.ZS', 'BAR.NOED.2024.FE.ZS'])
    source (Type: STRING; Sample values: ['Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/', 'Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/', 'Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/', 'Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/', 'Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/'])
    unit_of_measure (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
    short_definition (Type: STRING; Sample values: ['Percentage of female population age 15-19 with no education', 'Percentage of population age 15-19 with no education', 'Percentage of female population age 15+ with no education', 'Percentage of population age 15+ with no education', 'Percentage of female population age 20-24 with no education'])
    aggregation_method (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None'])
]

--------------------------------------------------

###Table full name: bigquery-public-data.world_bank_wdi.series_summary
[
    indicator_name (Type: STRING; Sample values: ['Agricultural machinery, tractors', 'Fertilizer consumption (% of fertilizer production)', 'Fertilizer consumption (kilograms per hectare of arable land)', 'Agricultural land (sq. km)', 'Agricultural land (% of land area)']; Description: Given name of a series.)
    related_indicators (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: In general indicator that are of interest and related to the specific series.)
    series_code (Type: STRING; Sample values: ['AG.AGR.TRAC.NO', 'AG.CON.FERT.PT.ZS', 'AG.CON.FERT.ZS', 'AG.LND.AGRI.K2', 'AG.LND.AGRI.ZS']; Description: A number or a sequence of related statistical units arranged or occurring in temporal spatial or other order or succession. WDI carries mostly time series.)
    short_definition (Type: STRING; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Short statement of the exact meaning of a series.)
