###Table full name: IDC.IDC_V17.SEGMENTATIONS
[
    SeriesInstanceUID (Type: TEXT; Sample values: ['1.2.276.0.7230010.3.1.3.17436516.653383.1696970728.262449', '1.2.276.0.7230010.3.1.3.17436516.664776.1696970888.933027', '1.2.276.0.7230010.3.1.3.17436516.666590.1696970914.61655', '1.2.276.0.7230010.3.1.3.17436516.651565.1696970702.349014', '1.2.276.0.7230010.3.1.3.17436516.664189.1696970884.510051'])
    SegmentsOverlap (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    SOPInstanceUID (Type: TEXT; Sample values: ['1.2.840.113654.2.55.232251254905686701117181565039442087865', '1.2.840.113654.2.55.281149784892428811639464384293629235745', '1.2.840.113654.2.55.169820662853239776981123072671212105735', '1.2.840.113654.2.55.195670402165839899895759391289032265317', '1.2.840.113654.2.55.85167056264528248627639073741729153183'])
    ImagerPixelSpacing (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    NominalScannedPixelSpacing (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    ImagesInSeries (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    SeriesDescription (Type: TEXT; Sample values: ['1,OPA,GE,HSQX,STANDARD,310,2.5,120,56,0.1,1.5', '1,OPA,GE,HSQX,STANDARD,310,2.5,120,56,0.1,1.5', '1,OPA,GE,HSQX,STANDARD,350,2.5,120,56,0.1,1.5', '1,OPA,GE,HSQX,STANDARD,350,2.5,120,56,0.1,1.5', '1,OPA,GE,HSQX,STANDARD,350,2.5,120,56,0.1,1.5'])
    IssuerOfPatientIDQualifiersSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    ContextGroupIdentificationSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    CTExposureSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    VerifyingObserverSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    SourceImageSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    ViewModifierCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    StudyPriorityID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    FailedSOPInstanceUIDList (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    StructureSetName (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    StudyStatusID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    PaletteColorLookupTableUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    DoseReferenceUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    StudyID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    DerivationCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    FiducialUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    collection_revised_idc_version (Type: NUMBER; Sample values: ['15', '15', '15', '15', '15']; Description: The IDC version in which this version of the collection containing this instance first appeared)
    ContextGroupExtensionCreatorUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    TransactionUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    TotalCollimationWidth (Type: FLOAT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    VerifyingObserverName (Type: VARIANT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    OperatorsName (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    tcia_api_collection_id (Type: TEXT; Sample values: ['NLST', 'NLST', 'NLST', 'NLST', 'NLST']; Description: DEPRECATED: Duplicate of collection_name)
    StackID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    WindowWidth (Type: VARIANT; Sample values: ['[\n  "400"\n]', '[\n  "400"\n]', '[\n  "400"\n]', '[\n  "400"\n]', '[\n  "400"\n]'])
    Grid (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    idc_webapp_collection_id (Type: TEXT; Sample values: ['nlst', 'nlst', 'nlst', 'nlst', 'nlst']; Description: DEPRECATED: Duplicate of collection_id)
    PatientID (Type: TEXT; Sample values: ['115644', '125284', '111916', '105094', '131538']; Description: Patient ID assigned by submitter of this data)
    RequestedProcedureCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    ScheduledProtocolCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    ManufacturerModelName (Type: TEXT; Sample values: ['HiSpeed QX/i', 'HiSpeed QX/i', 'HiSpeed QX/i', 'HiSpeed QX/i', 'HiSpeed QX/i'])
    RadionuclideTotalDose (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    OriginalSpecializedSOPClassUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    OriginalImageIdentificationNomenclature (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    patient_init_idc_version (Type: NUMBER; Sample values: ['4', '4', '4', '4', '4']; Description: The IDC version in which the patient/case containing this instance first appeared)
    PatientBreedCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    CollimatorGridName (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ConceptNameCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    crdc_instance_uuid (Type: TEXT; Sample values: ['010ce390-7c5a-42c3-b5ba-75dd090ee4c1', '80ff05d2-7971-465d-a822-3356ae172458', '055a66f5-7e54-4b46-ae42-df7e377be8e3', '61306e6a-ce32-442f-86e2-18a74e3f8af1', 'bbe6d6ab-a151-4e51-8bac-6731b850d02a']; Description: UUID of this version of this instance)
    ScheduledStationName (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    PatientOrientationModifierCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    DetectorManufacturerModelName (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    LargestValidPixelValue (Type: NUMBER; Sample values: ['None', 'None', 'None', 'None', 'None'])
    UID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    PlateID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    crdc_study_uuid (Type: TEXT; Sample values: ['2548cceb-112c-4e57-9345-67ab1cba9eac', '771fb764-fd74-4268-b381-8e84548a9003', 'c9546a46-6f24-4677-b5ab-04ac6c032e23', 'e4f2bca4-d24f-400a-bf5a-cc2e4511a412', '459cf7be-0e30-4c00-96fd-9472f2d9d595']; Description: UUID of this version of study containing this instance)
    ContainerTypeCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    ReceiveCoilName (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    RequestedProcedureID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ClinicalTrialCoordinatingCenterName (Type: TEXT; Sample values: ['Washington U (images), Westat (assoc. data)', 'Washington U (images), Westat (assoc. data)', 'Washington U (images), Westat (assoc. data)', 'Washington U (images), Westat (assoc. data)', 'Washington U (images), Westat (assoc. data)'])
    AveragePulseWidth (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    idc_case_id (Type: TEXT; Sample values: ['f999d808-731d-4c65-b1b1-a462e80c4e0d', '8ee64c7b-aa5a-419e-9dc2-bd9766aaeaae', '0c48f973-a8bb-493f-8479-34dd31d0df0a', '9e94ea23-01e5-4447-a72c-cb204537f440', '9f139ffd-7773-44fd-aa12-899d2c7f4975']; Description: IDC assigned UUID4 id of this version of the case/patient containing this instance)
    series_init_idc_version (Type: NUMBER; Sample values: ['4', '4', '4', '4', '4']; Description: The IDC version in which the series containing this instance first appeared)
    ClinicalTrialProtocolID (Type: TEXT; Sample values: ['NCT00047385', 'NCT00047385', 'NCT00047385', 'NCT00047385', 'NCT00047385'])
    study_init_idc_version (Type: NUMBER; Sample values: ['4', '4', '4', '4', '4']; Description: The IDC version in which the study containing this instance first appeared)
    RectilinearPhaseEncodeReordering (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    collection_init_idc_version (Type: NUMBER; Sample values: ['4', '4', '4', '4', '4']; Description: The IDC version in which the collection containing this instance first appeared)
    ReasonForRequestedProcedureCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    PulseSequenceName (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    PatientIdentityRemoved (Type: TEXT; Sample values: ['YES', 'YES', 'YES', 'YES', 'YES'])
    ScheduledProcedureStepID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    series_revised_idc_version (Type: NUMBER; Sample values: ['4', '4', '4', '4', '4']; Description: The IDC version in which this version of the series containing this instance first appeared)
    DigitalSignatureUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    collection_id (Type: TEXT; Sample values: ['nlst', 'nlst', 'nlst', 'nlst', 'nlst']; Description: The ID of the collection containing this instance as expected by the IDC web app and API. Duplicate of the idc_webapp_collection_id column.)
    ImageID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    GridFrameOffsetVector (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    LargePaletteColorLookupTableUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ReferencedSOPInstanceUIDInFile (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    license_short_name (Type: TEXT; Sample values: ['CC BY 4.0', 'CC BY 4.0', 'CC BY 4.0', 'CC BY 4.0', 'CC BY 4.0']; Description: The short name of the license of the collection that contains this instance)
    ReferencedSOPInstanceUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    study_revised_idc_version (Type: NUMBER; Sample values: ['4', '4', '4', '4', '4']; Description: The IDC version in which this version of the study containing this instance first appeared)
    ImagedVolumeWidth (Type: FLOAT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    PatientGantryRelationshipCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    PixelBandwidth (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    DeidentificationMethod (Type: VARIANT; Sample values: ['[\n  "113100",\n  "113101",\n  "113103",\n  "113105",\n  "113109"\n]', '[\n  "113100",\n  "113101",\n  "113103",\n  "113105",\n  "113109"\n]', '[\n  "113100",\n  "113101",\n  "113103",\n  "113105",\n  "113109"\n]', '[\n  "113100",\n  "113101",\n  "113103",\n  "113105",\n  "113109"\n]', '[\n  "113100",\n  "113101",\n  "113103",\n  "113105",\n  "113109"\n]'])
    WindowCenterWidthExplanation (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    AdmittingDiagnosesCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    instance_init_idc_version (Type: NUMBER; Sample values: ['4', '4', '4', '4', '4']; Description: The IDC version in which this instance first appeared)
    ViewCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    CurrentRequestedProcedureEvidenceSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    SequenceName (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    InterpretationStatusID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ClinicalTrialTimePointID (Type: TEXT; Sample values: ['T1', 'T1', 'T1', 'T1', 'T1'])
    ProcedureCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    PerformedProtocolCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    PatientName (Type: VARIANT; Sample values: ['{\n  "Alphabetic": {\n    "FamilyName": "003699",\n    "GivenName": "LSS"\n  }\n}', '{\n  "Alphabetic": {\n    "FamilyName": "090464",\n    "GivenName": "LSS"\n  }\n}', '{\n  "Alphabetic": {\n    "FamilyName": "037648",\n    "GivenName": "LSS"\n  }\n}', '{\n  "Alphabetic": {\n    "FamilyName": "148551",\n    "GivenName": "LSS"\n  }\n}', '{\n  "Alphabetic": {\n    "FamilyName": "141028",\n    "GivenName": "LSS"\n  }\n}'])
    CTDIPhantomTypeCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    ReferringPhysicianName (Type: VARIANT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    ImageOrientationSlide (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    DeidentificationMethodCodeSequence (Type: VARIANT; Sample values: ['[\n  {\n    "CodeMeaning": "Basic Application Confidentiality Profile",\n    "CodeValue": "113100",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Pixel Data Option",\n    "CodeValue": "113101",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Graphics Option",\n    "CodeValue": "113103",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Descriptors Option",\n    "CodeValue": "113105",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Retain Device Identity Option",\n    "CodeValue": "113109",\n    "CodingSchemeDesignator": "DCM"\n  }\n]', '[\n  {\n    "CodeMeaning": "Basic Application Confidentiality Profile",\n    "CodeValue": "113100",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Pixel Data Option",\n    "CodeValue": "113101",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Graphics Option",\n    "CodeValue": "113103",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Descriptors Option",\n    "CodeValue": "113105",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Retain Device Identity Option",\n    "CodeValue": "113109",\n    "CodingSchemeDesignator": "DCM"\n  }\n]', '[\n  {\n    "CodeMeaning": "Basic Application Confidentiality Profile",\n    "CodeValue": "113100",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Pixel Data Option",\n    "CodeValue": "113101",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Graphics Option",\n    "CodeValue": "113103",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Descriptors Option",\n    "CodeValue": "113105",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Retain Device Identity Option",\n    "CodeValue": "113109",\n    "CodingSchemeDesignator": "DCM"\n  }\n]', '[\n  {\n    "CodeMeaning": "Basic Application Confidentiality Profile",\n    "CodeValue": "113100",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Pixel Data Option",\n    "CodeValue": "113101",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Graphics Option",\n    "CodeValue": "113103",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Descriptors Option",\n    "CodeValue": "113105",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Retain Device Identity Option",\n    "CodeValue": "113109",\n    "CodingSchemeDesignator": "DCM"\n  }\n]', '[\n  {\n    "CodeMeaning": "Basic Application Confidentiality Profile",\n    "CodeValue": "113100",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Pixel Data Option",\n    "CodeValue": "113101",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Graphics Option",\n    "CodeValue": "113103",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Clean Descriptors Option",\n    "CodeValue": "113105",\n    "CodingSchemeDesignator": "DCM"\n  },\n  {\n    "CodeMeaning": "Retain Device Identity Option",\n    "CodeValue": "113109",\n    "CodingSchemeDesignator": "DCM"\n  }\n]'])
    GridAspectRatio (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    RTPlanName (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    SynchronizationFrameOfReferenceUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    FrameOfReferenceUID (Type: TEXT; Sample values: ['1.2.840.113654.2.55.285632087297227048789004062697777751240', '1.2.840.113654.2.55.289860117885059951581331984115968993773', '1.2.840.113654.2.55.157163729707117767734085490601447856377', '1.2.840.113654.2.55.307856552820635402859020226684702278502', '1.2.840.113654.2.55.149676308333004775782966424142666292260'])
    StudyInstanceUID (Type: TEXT; Sample values: ['1.2.840.113654.2.55.62621785606309318595425188615995118704', '1.2.840.113654.2.55.252823246291318780125419075611881707753', '1.2.840.113654.2.55.321739936466302978441987047842606358921', '1.2.840.113654.2.55.238810784403423496900404050276632823832', '1.2.840.113654.2.55.65506226137788125731294707744660637427'])
    InstanceCreatorUID (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    PerformingPhysicianName (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    CompressionCode (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    SingleCollimationWidth (Type: FLOAT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    StrainCodeSequence (Type: VARIANT; Sample values: ['[]', '[]', '[]', '[]', '[]'])
    license_long_name (Type: TEXT; Sample values: ['Creative Commons Attribution 4.0 International License', 'Creative Commons Attribution 4.0 International License', 'Creative Commons Attribution 4.0 International License', 'Creative Commons Attribution 4.0 International License', 'Creative Commons Attribution 4.0 International License']; Description: The long name of the license of the collection that contains this instance)
    TransmitCoilName (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None'])
    OtherPatientIDs (Type: VARIANT; Sample values: ['[\n  "003699"\n]', '[\n  "090464"\n]', '[\n  "037648"\n]', '[\n  "148551"\n]', '[\n  "141028"\n]'])
    ContentCreatorName (Type: VARIANT; Sample values: ['None', 'None', 'None', 'None', 'None'])
